PEDIDO;Driver ID;Driver Name;Destination Hub;Data;OnHoldReason;status
BR237231059808A;347;Sawyere Tonepohl;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR236244381505M;133;Claretta Blodgett;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Address cannot be found;Delivered
BR232526061551G;353;Rance Reast;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Out of the route ;OnHold
BR230912454686T;106;Farlie Pimlett;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;App/Internet failure;Delivered
BR2399253180912;34;Marchall Ellett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Out of the route ;Delivering
BR2360395990324;488;Cthrine Jouannot;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2354353790419;323;Antonia Arnau;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR231179394964O;8;Shelba Groneway;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR233095337046S;471;Gregoire Ayton;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Out of the route ;OnHold
BR2337823789226;70;Kanya Faltin;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2337037780750;5;Lorne Gooley;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Address cannot be found;Delivering
BR230365197244A;188;Donni Tabart;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Out of the route ;Delivering
BR232701013204C;454;Elbertine Barford;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Out of the route ;Delivered
BR237737364446J;287;Lynnelle Danaher;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Normal;Delivering
BR233249836114F;164;Kara Feldfisher;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Address cannot be found;Delivered
BR231678223917T;329;Daren Cutriss;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR233219135785H;150;Blondy Aylmer;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2306437521317;471;Gregoire Ayton;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Address cannot be found;OnHold
BR238590935664H;483;Sharity Sudell;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Address cannot be found;Delivering
BR237102623373T;398;Jeni Massy;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR230764350191H;338;Cristy Bissill;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2336599722885;231;Scot Beeby;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR234216661162F;66;Ilene Postle;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR230976197906V;125;Dorice Dandy;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2393795565151;281;Brooks Tyas;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR236814339262D;34;Marchall Ellett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Address cannot be found;Delivering
BR230799413797P;204;Gordy Shillito;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Out of the route ;Delivering
BR2392092139772;332;Bruno Kemston;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Address cannot be found;OnHold
BR2376715725365;405;Barclay Eisikowitz;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR235247211638H;469;Cilka Sparshutt;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Normal;Delivered
BR236850009083H;339;Pearla Butterfill;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2354985451569;315;Noemi McDermott-Row;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Out of the route ;Delivering
BR231461996272G;320;Rob Spadaro;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2319187140047;333;Dawn Bowling;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Normal;OnHold
BR234196300414D;83;Em Rendle;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR233728375725C;15;Hanni Arnowicz;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2343387605180;297;Olympie Guillet;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR2330455371479;223;Cynthie Wallege;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Out of the route ;Delivering
BR233425519584P;418;Simon Czajkowska;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2307455044189;480;Doy Nudd;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Out of the route ;OnHold
BR236250620369K;266;Irvin Pallin;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR232190867917X;381;Chancey Beadnell;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2341470720170;69;Haily Matthius;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;App/Internet failure;OnHold
BR231727583425K;161;Jolynn Boylund;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR232774903344Q;371;Holly Primo;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR238260482385C;8;Shelba Groneway;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR234478390268P;433;Rufe Bresnahan;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR236786036363E;497;Sheeree Letchmore;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;App/Internet failure;Delivered
BR233280136667W;76;Andie Danser;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2391983991189;310;Aeriell Riggott;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Normal;Delivered
BR2350454126323;443;Tim Batters;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;App/Internet failure;OnHold
BR232360147740F;294;Deena Laker;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR234032889849I;134;Wenonah Marquiss;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Address cannot be found;Delivered
BR232206114469L;466;Randi Colpus;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Address cannot be found;Delivering
BR237420879774E;181;Joceline Abbet;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Normal;OnHold
BR230753673574D;327;Guinevere Slane;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;App/Internet failure;OnHold
BR236257546657G;106;Farlie Pimlett;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR237479224107L;243;Ariel Barrar;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR237858970399A;113;Elmer Sabban;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Normal;Delivered
BR230427021519K;346;Lorianna Kleisel;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR231506118725P;456;Agretha Clapp;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR238085498558N;134;Wenonah Marquiss;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Out of the route ;Delivering
BR239819725174I;95;Marten Proven;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR238048694331L;257;Maryellen Thurlow;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR239071127299P;408;Merrilee Guiton;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2338474110386;432;Garwood McIlriach;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR230564358007G;287;Lynnelle Danaher;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR232985955449Q;115;Ddene Burl;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2314823412987;245;Elva Abbots;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR238829350735F;340;Loren Sandells;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR235435398336X;110;Renaud Sporner;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR239669719504Q;90;Vassili Yeskov;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR230094606533P;52;Jilli Thackray;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Out of the route ;Delivered
BR231690661342L;104;Laurella Skipsey;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Out of the route ;Delivered
BR239853356618Z;305;Stephine Atty;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR236107843078S;60;Gwendolen Marritt;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR234062018293B;331;Howey Hartill;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR235933624372J;365;Alec Davidman;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2304167727057;226;Isis MacAnellye;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;App/Internet failure;Delivered
BR2369985959811;324;Aime Staite;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Address cannot be found;OnHold
BR2347004580582;425;Lilyan Lynds;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Address cannot be found;Delivering
BR237369018950T;451;Lambert Matveiko;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Address cannot be found;OnHold
BR237800534375F;462;Mag Kleinerman;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2314926176260;358;Collete Oulett;LM Hub_MT_Cuiba;2024-04-22 00:00:00;App/Internet failure;Delivered
BR239422708804P;153;Kip Labrum;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Address cannot be found;OnHold
BR230190450435R;413;Rey Wolseley;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2351337940079;231;Scot Beeby;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR237925225629P;74;Gradey Schwand;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Normal;OnHold
BR231276033490E;132;Lucy Hryniewicz;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR234744114827X;401;Davin Vanne;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR236583742422V;460;Brand Fearns;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Normal;OnHold
BR233562640341V;442;Pearla Jeeves;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Normal;Delivering
BR2311578319725;177;Carlye Shorto;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;App/Internet failure;Delivered
BR238769343351I;193;Cullin Titterington;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2311057574073;297;Olympie Guillet;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR235928968146I;207;Celestyna Garfit;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;App/Internet failure;Delivered
BR2364471685393;196;Nilson Tolwood;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Normal;OnHold
BR2317114184136;179;Thebault Whitewood;LM Hub_MG_Contagem;2024-04-22 00:00:00;App/Internet failure;OnHold
BR233142128632G;236;Yolanthe Cutts;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Out of the route ;Delivering
BR235262946637Z;331;Howey Hartill;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;App/Internet failure;Delivered
BR2322862295240;68;Darryl De Clairmont;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR237875912947G;263;Brigitte Illes;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Out of the route ;OnHold
BR239327102124D;1;Ethe McCaskill;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Address cannot be found;OnHold
BR2349958764708;378;Jordan Skirving;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR231601901791P;279;Bellina Ludford;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;App/Internet failure;OnHold
BR231485786462C;332;Bruno Kemston;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR230102955364J;367;Daphna Crocken;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Out of the route ;OnHold
BR234730259235N;312;Kamila Ashling;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR233161727772D;35;Moss Bentson;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Normal;OnHold
BR232107610734K;202;Pincas Eckersley;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Normal;Delivering
BR238242408384O;265;Tuesday Iacoboni;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Address cannot be found;OnHold
BR2389724786168;438;Cyril Hebbs;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR230792995289U;87;Rand Schustl;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Out of the route ;Delivered
BR236699208149K;451;Lambert Matveiko;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2303595941764;177;Carlye Shorto;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;App/Internet failure;OnHold
BR230655696932B;54;Amelie McCoole;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR235698616824Q;304;Osmond Le Guin;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2330713572396;286;Tiffani Ottiwill;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Normal;Delivered
BR2301854736045;176;George Stickels;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR232963107893J;145;Roch Warry;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR2329799935548;4;Marillin Putley;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Out of the route ;OnHold
BR239869394515E;323;Antonia Arnau;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR234671249277N;246;Angil Fulcher;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Out of the route ;OnHold
BR234505025675N;282;Allen Kerner;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;App/Internet failure;Delivering
BR232205238817K;49;Rees Tidey;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR239330895093K;436;Kile Hopkynson;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR230222652637O;283;Munmro Swoffer;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;App/Internet failure;Delivered
BR236290644212Y;331;Howey Hartill;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR238266555627H;5;Lorne Gooley;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Normal;Delivered
BR239016920509X;46;Cedric MacNeely;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR238101976731R;204;Gordy Shillito;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Out of the route ;Delivered
BR237337129697Z;473;Miof mela Fearne;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Address cannot be found;OnHold
BR237331557043A;81;Kari Sigart;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Address cannot be found;Delivered
BR237255525568N;338;Cristy Bissill;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Normal;Delivered
BR238341129652O;277;Bari Caton;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;App/Internet failure;OnHold
BR234294546121D;195;Charmain Cathee;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Normal;OnHold
BR237516242048I;381;Chancey Beadnell;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR230641943014E;257;Maryellen Thurlow;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Normal;Delivered
BR231204367003G;209;Letta Hutt;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Out of the route ;Delivering
BR236667848542X;50;Harmonia Gush;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR239911132817O;180;Jules Paszak;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Address cannot be found;OnHold
BR236874468942F;75;My Charrier;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR231438853197D;370;Lori Dakin;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR235799462967L;313;Birgitta Basillon;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR232676146506H;89;Lavinia Juszkiewicz;LM Hub_MG_Contagem;2024-04-22 00:00:00;Out of the route ;Delivering
BR233078144847O;128;Yank Dewar;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR232605284889S;364;Marleah Waterman;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Out of the route ;Delivering
BR234713853974B;311;Kelcie Ortmann;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR235155161571B;83;Em Rendle;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR235289021264B;339;Pearla Butterfill;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Normal;Delivering
BR231005562913F;244;Schuyler Toopin;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR233710070185L;94;Ame Humbatch;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Normal;OnHold
BR234969004873I;65;Minor Alcido;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR237163333094O;233;Wheeler Cameli;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Normal;OnHold
BR237123632498V;217;Ivie Chivers;LM Hub_MG_Contagem;2024-04-22 00:00:00;App/Internet failure;Delivering
BR237739763830A;44;Patricio Morley;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR237930248838J;169;Gerianne Rishworth;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR235291224539C;392;Clem Doctor;LM Hub_RJ_São João do Meriti_Venda Velha;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR233355532289C;478;Chance Moine;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Normal;Delivering
BR237977610545P;263;Brigitte Illes;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2387390855300;496;Derwin Stampfer;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Address cannot be found;OnHold
BR2332463094819;164;Kara Feldfisher;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Address cannot be found;OnHold
BR235923791895L;142;Gabriell Stacey;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR237912516715F;155;Johna Clery;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR233005215672M;301;Ryann Legrice;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;App/Internet failure;Delivered
BR2364561478229;347;Sawyere Tonepohl;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2315097829792;30;Kalinda Kasparski;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2377746487266;481;Petronella Hellis;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;App/Internet failure;Delivering
BR238581590250G;174;Corbett Goathrop;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR236781327048F;167;Pennie Snelgrove;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;Out of the route ;Delivering
BR237901742509D;109;Gray Hearns;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Out of the route ;OnHold
BR236653091764U;122;Henri Tidey;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;App/Internet failure;OnHold
BR2358408065818;170;Ellsworth Dallaghan;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;App/Internet failure;OnHold
BR239199504029Z;316;Erskine Dybald;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2374050621253;52;Jilli Thackray;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Out of the route ;Delivering
BR2353866195288;477;Karola Curry;LM Hub_MG_Contagem;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR232096904549K;275;Normy Blais;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR236930717619K;86;Gerek Sieur;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR232951599991L;356;Tades Hawkswood;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Normal;Delivering
BR232540058374K;116;Shelley Gebuhr;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Address cannot be found;Delivering
BR238710795993G;209;Letta Hutt;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR239095928789O;324;Aime Staite;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR235390906565K;361;Danie Hardman;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Normal;Delivering
BR239940611138D;227;Kesley Parres;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR236121865442B;396;Milty Alker;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR234731526685I;375;Hillel Heigold;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Normal;Delivering
BR237169325523N;73;Sibelle Chennells;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR237492426236F;191;Agnola Galpen;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR234995700730N;43;Dugald Monelli;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2357228682659;313;Birgitta Basillon;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR238241499869M;106;Farlie Pimlett;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2310977701753;301;Ryann Legrice;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR239506529112K;300;Abbe Empson;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Normal;OnHold
BR238393039672J;7;Simone Hammett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;App/Internet failure;OnHold
BR235490513210S;243;Ariel Barrar;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR234210638608D;117;Fayre Bradder;LM Hub_MG_Contagem;2024-04-22 00:00:00;Normal;Delivered
BR234307504821N;445;Nert Goundsy;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR239018948776W;399;Bertie Gouth;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;App/Internet failure;Delivering
BR232932838953I;459;Wake Ivakhin;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Out of the route ;Delivered
BR2367859187203;231;Scot Beeby;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR230402833715T;268;Tobin Bogays;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR237184709530J;167;Pennie Snelgrove;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR238145874040I;6;Elene Brokenshaw;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR233052194267O;7;Simone Hammett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Out of the route ;Delivered
BR232113793166J;66;Ilene Postle;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;App/Internet failure;Delivered
